Estado (Jugador, Dealer, As usable) | Q[Quedarse] | Q[Pedir carta]
--------------------------------------------------------------
(14, 10, 0)                       |     5.0589 |        4.5280 = 10
(21, 4, 1)                        |    42.9000 |       10.9540
(16, 10, 1)                       |    30.0041 |       29.6291
(11, 10, 0)                       |    49.2278 |       46.2001
(20, 10, 1)                       |    56.7814 |       74.8246
(18, 2, 0)                        |     5.8636 |        4.3552
(14, 6, 0)                        |    10.7295 |       19.4688
(15, 2, 0)                        |     5.1694 |        5.0056
(13, 3, 0)                        |    11.9226 |       19.6254
(20, 4, 0)                        |    70.7000 |        1.7821
(16, 6, 0)                        |     5.4174 |       22.1651
(15, 9, 0)                        |     7.2003 |        7.0698
(17, 8, 1)                        |     4.0511 |       12.7402
(13, 8, 0)                        |     8.3243 |        7.7696
(12, 10, 1)                       |    19.5697 |       31.1157
(20, 7, 0)                        |    89.1000 |        0.0394
(18, 10, 0)                       |    -0.3063 |       23.6243
(16, 10, 0)                       |     7.6089 |       57.4233
(18, 6, 1)                        |     7.1848 |       19.4733
(17, 7, 1)                        |     4.6464 |       15.2257
(16, 4, 0)                        |     6.4168 |        5.9224
(14, 8, 0)                        |     7.6178 |        8.6265
(13, 1, 0)                        |     2.1156 |        2.0094
(9, 10, 0)                        |    17.2646 |       17.3270
(12, 6, 0)                        |    13.3442 |       19.8658
(21, 6, 1)                        |    43.7000 |       18.8418
(12, 10, 0)                       |    14.4991 |       13.3754
(18, 9, 0)                        |     2.8622 |        6.9803
(15, 6, 0)                        |     8.3298 |       12.2984
(13, 10, 0)                       |    15.8637 |       13.0309
(8, 1, 0)                         |     1.1785 |        5.6289
(9, 7, 0)                         |    20.8065 |       30.0121
(21, 10, 1)                       |   161.0000 |       84.2352
(20, 2, 0)                        |    71.2000 |        2.4402
(12, 3, 0)                        |     8.9774 |        8.8191
(16, 7, 0)                        |    10.1839 |       23.9434
(20, 10, 0)                       |   194.3000 |       10.7313
(20, 1, 0)                        |    22.3000 |        0.2940
(21, 2, 1)                        |    42.3000 |       10.3379
(19, 2, 0)                        |    31.1000 |        8.7758
(8, 5, 0)                         |     7.4557 |       17.2156
(17, 3, 0)                        |     5.0827 |        2.2527
(14, 2, 1)                        |     0.6264 |       11.9336
(17, 10, 0)                       |     6.5687 |        9.1237
(21, 6, 0)                        |    39.8000 |       -0.8649
(14, 6, 1)                        |     4.6227 |       17.8533
(17, 2, 0)                        |     3.9812 |       11.3808
(24, 6, 0)                        |     0.0000 |        0.0000
(14, 9, 0)                        |     5.2587 |       25.9346
(25, 2, 0)                        |     0.0000 |        0.0000
(21, 5, 1)                        |    40.9000 |       16.9829
(8, 7, 0)                         |    11.0574 |       27.5984
(21, 10, 0)                       |   130.0000 |       -0.9997
(16, 3, 0)                        |     5.7176 |       11.7393
(18, 7, 0)                        |    33.0000 |       10.8139
(6, 3, 0)                         |     5.1306 |       12.8468
(15, 4, 0)                        |     5.8587 |       15.3402
(7, 9, 0)                         |     6.4519 |       13.1464
(13, 4, 0)                        |    11.2909 |       19.4582
(18, 6, 0)                        |    25.2000 |        6.4303
(22, 10, 0)                       |     0.0000 |        0.0000
(9, 1, 0)                         |     2.8283 |        6.6664
(21, 4, 0)                        |    39.6000 |       -0.9529
(19, 10, 0)                       |    17.5058 |       17.0149
(16, 8, 1)                        |     5.7014 |       15.0619
(8, 10, 0)                        |    15.7825 |       15.8181
(27, 10, 0)                       |     0.0000 |        0.0000
(16, 1, 0)                        |     1.2519 |        3.7468
(12, 4, 0)                        |    11.0485 |        9.5986
(15, 5, 0)                        |     4.5407 |       11.7436
(8, 8, 0)                         |     7.5552 |       14.2856
(16, 2, 0)                        |     4.2573 |       12.3656
(12, 2, 0)                        |     6.1302 |        9.2875
(6, 1, 0)                         |     1.0899 |        5.8552
(18, 9, 1)                        |     5.4364 |       13.9270
(11, 8, 0)                        |    21.9763 |       28.1437
(12, 5, 0)                        |     7.8297 |        6.6034
(25, 5, 0)                        |     0.0000 |        0.0000
(20, 5, 0)                        |    74.1000 |        0.2772
(9, 6, 0)                         |    14.5905 |       27.5070
(10, 6, 0)                        |    22.6021 |       36.3311
(23, 1, 0)                        |     0.0000 |        0.0000
(13, 9, 0)                        |     9.3512 |       17.2063
(10, 10, 0)                       |    34.3500 |       34.2729
(15, 10, 0)                       |     8.5102 |       13.9503
(15, 1, 0)                        |     1.4378 |        1.2666
(8, 6, 0)                         |     6.0969 |       23.7055
(14, 5, 1)                        |     4.3201 |       14.7171
(10, 9, 0)                        |    20.3103 |       32.1112
(13, 3, 1)                        |     1.6461 |       11.4885
(13, 7, 0)                        |    10.2946 |        9.8802
(29, 10, 0)                       |     0.0000 |        0.0000
(5, 2, 0)                         |     2.8346 |        7.9539
(7, 1, 0)                         |     1.2919 |        6.4192
(13, 10, 1)                       |    23.5553 |       29.2750
(10, 2, 0)                        |    14.5858 |       14.1632
(19, 4, 0)                        |    33.6000 |       12.3347
(12, 2, 1)                        |     1.6287 |       17.7277
(19, 5, 0)                        |    35.1000 |        0.4519
(16, 5, 0)                        |     5.8718 |        5.1716
(22, 3, 0)                        |     0.0000 |        0.0000
(23, 10, 0)                       |     0.0000 |        0.0000
(21, 3, 1)                        |    39.8000 |       13.3266
(19, 10, 1)                       |    22.4488 |       20.4062
(15, 7, 0)                        |     7.9646 |       19.3608
(25, 10, 0)                       |     0.0000 |        0.0000
(16, 8, 0)                        |     7.2930 |        6.7260
(26, 10, 0)                       |     0.0000 |        0.0000
(10, 7, 0)                        |    16.6444 |       45.9927
(21, 7, 1)                        |    40.3000 |       26.8563
(24, 10, 0)                       |     0.0000 |        0.0000
(14, 7, 0)                        |    11.1199 |       10.1533
(12, 8, 0)                        |    14.6557 |       19.0217
(19, 8, 0)                        |    47.7000 |       20.8928
(17, 8, 0)                        |     4.1557 |        3.2730
(20, 6, 0)                        |    75.8000 |        2.9825
(17, 5, 0)                        |     5.7561 |        4.7676
(12, 1, 0)                        |     4.2503 |        8.6234
(6, 8, 0)                         |     9.4977 |       18.8492
(18, 5, 0)                        |    19.1000 |        2.8347
(18, 3, 1)                        |     2.2000 |        1.6616
(24, 7, 0)                        |     0.0000 |        0.0000
(11, 7, 0)                        |    17.1965 |       30.3881
(7, 7, 0)                         |     7.8753 |       19.8301
(17, 6, 0)                        |     9.1790 |       21.1960
(9, 5, 0)                         |    11.3048 |       20.9435
(11, 4, 0)                        |    17.5712 |       23.5461
(30, 1, 0)                        |     0.0000 |        0.0000
(6, 10, 0)                        |    18.7470 |       17.9043
(12, 9, 0)                        |     6.8456 |       18.5903
(25, 6, 0)                        |     0.0000 |        0.0000
(20, 3, 0)                        |    73.0000 |        4.6762
(17, 1, 1)                        |     0.5779 |        6.2175
(18, 8, 0)                        |    10.0000 |        6.9371
(10, 8, 0)                        |    20.7853 |       25.3512
(8, 9, 0)                         |     5.4559 |       11.7027
(21, 7, 0)                        |    44.6000 |       -0.8784
(18, 1, 0)                        |     1.9538 |        2.0482
(17, 4, 0)                        |     7.0467 |       10.0353
(14, 5, 0)                        |     9.0927 |       12.2848
(18, 4, 0)                        |    16.4000 |        1.0976
(22, 9, 0)                        |     0.0000 |        0.0000
(13, 2, 0)                        |    10.5909 |        8.6050
(11, 6, 0)                        |    17.3110 |       41.0705
(20, 8, 0)                        |    98.6000 |       10.7202
(16, 9, 0)                        |     2.2036 |       14.7701
(12, 7, 0)                        |    16.2169 |       16.0724
(13, 7, 1)                        |     1.9950 |       16.9982
(7, 5, 0)                         |     3.2240 |       12.5339
(19, 1, 0)                        |     0.4039 |       -0.5239
(13, 5, 0)                        |     9.7695 |       30.5916
(14, 3, 1)                        |     1.0781 |       12.2110
(25, 9, 0)                        |     0.0000 |        0.0000
(14, 2, 0)                        |     3.3765 |        2.5846
(19, 7, 1)                        |     9.6000 |        4.3352
(26, 8, 0)                        |     0.0000 |        0.0000
(19, 9, 0)                        |    30.1000 |        0.9463
(8, 4, 0)                         |     9.9055 |       16.3467
(17, 7, 0)                        |    10.4679 |       11.0623
(17, 1, 0)                        |     0.6785 |        5.1330
(7, 2, 0)                         |     3.0513 |        9.0453
(24, 8, 0)                        |     0.0000 |        0.0000
(14, 3, 0)                        |     7.8499 |       14.1638
(21, 1, 0)                        |    42.4000 |       -0.9529
(5, 10, 0)                        |    17.9675 |       24.0602
(17, 9, 0)                        |     4.0699 |        3.6089
(10, 3, 0)                        |    18.2633 |       26.6688
(19, 3, 0)                        |    32.5000 |       10.2476
(10, 4, 0)                        |    17.6486 |       26.5860
(14, 1, 0)                        |     1.7339 |        8.7680
(18, 5, 1)                        |     7.6250 |       12.9391
(23, 5, 0)                        |     0.0000 |        0.0000
(15, 6, 1)                        |     1.7553 |       21.0644
(22, 1, 0)                        |     0.0000 |        0.0000
(4, 10, 0)                        |     8.6487 |       24.6193
(28, 10, 0)                       |     0.0000 |        0.0000
(13, 6, 0)                        |    10.2862 |       13.5952
(4, 9, 0)                         |     0.3737 |       10.3639
(15, 3, 0)                        |     4.1982 |       16.6442
(9, 3, 0)                         |    10.7484 |       20.1522
(18, 10, 1)                       |    16.8157 |       15.8308
(7, 10, 0)                        |    16.5315 |       15.8759
(14, 10, 1)                       |    20.0599 |       29.9397
(11, 5, 0)                        |    17.0141 |       25.7893
(20, 9, 0)                        |    87.8000 |        6.2643
(8, 3, 0)                         |     4.0093 |       12.6797
(17, 6, 1)                        |     6.0008 |       14.9112
(7, 8, 0)                         |     6.1340 |       14.4746
(5, 9, 0)                         |     2.7650 |       15.2223
(18, 3, 0)                        |    11.5893 |        7.9680
(14, 7, 1)                        |     5.1195 |       17.2016
(10, 5, 0)                        |    22.3652 |       30.7099
(17, 10, 1)                       |    19.0205 |       23.2280
(28, 2, 0)                        |     0.0000 |        0.0000
(31, 1, 0)                        |     0.0000 |        0.0000
(27, 3, 0)                        |     0.0000 |        0.0000
(4, 8, 0)                         |     1.6123 |       15.4893
(7, 6, 0)                         |     6.3635 |       19.7201
(21, 5, 0)                        |    32.6000 |       -0.9477
(21, 9, 1)                        |    39.1000 |       19.6082
(6, 6, 0)                         |     0.2801 |       20.3820
(30, 8, 0)                        |     0.0000 |        0.0000
(15, 8, 0)                        |     7.3728 |        8.2053
(6, 4, 0)                         |     3.5034 |       16.4430
(23, 7, 0)                        |     0.0000 |        0.0000
(10, 1, 0)                        |     5.9230 |       15.2856
(19, 6, 0)                        |    45.0000 |        6.7889
(11, 1, 0)                        |     9.5866 |       19.5514
(29, 5, 0)                        |     0.0000 |        0.0000
(26, 7, 0)                        |     0.0000 |        0.0000
(27, 5, 0)                        |     0.0000 |        0.0000
(18, 8, 1)                        |     4.8535 |       14.9569
(12, 8, 1)                        |     2.6572 |       16.4676
(19, 5, 1)                        |     5.5809 |       21.9519
(28, 1, 0)                        |     0.0000 |        0.0000
(16, 2, 1)                        |     2.7239 |       14.0740
(21, 3, 0)                        |    37.5000 |       -0.8147
(26, 3, 0)                        |     0.0000 |        0.0000
(22, 4, 0)                        |     0.0000 |        0.0000
(4, 2, 0)                         |     0.0371 |        9.3336
(19, 4, 1)                        |     9.9928 |       20.9195
(15, 10, 1)                       |    19.9236 |       19.1804
(24, 5, 0)                        |     0.0000 |        0.0000
(29, 3, 0)                        |     0.0000 |        0.0000
(25, 7, 0)                        |     0.0000 |        0.0000
(23, 2, 0)                        |     0.0000 |        0.0000
(11, 2, 0)                        |    11.0939 |       19.4538
(24, 3, 0)                        |     0.0000 |        0.0000
(28, 4, 0)                        |     0.0000 |        0.0000
(17, 2, 1)                        |     4.8222 |        8.7507
(25, 1, 0)                        |     0.0000 |        0.0000
(29, 8, 0)                        |     0.0000 |        0.0000
(16, 6, 1)                        |     4.9585 |       17.3209
(11, 9, 0)                        |    18.9316 |       26.7553
(5, 7, 0)                         |     2.0115 |       20.5154
(24, 1, 0)                        |     0.0000 |        0.0000
(21, 8, 0)                        |    40.1000 |       -0.9618
(25, 8, 0)                        |     0.0000 |        0.0000
